,AI.PA.Open,AI.PA.High,AI.PA.Low,AI.PA.Close,AI.PA.Volume,AI.PA.Adjusted
2012-12-28,76.576797,76.826401,75.594803,75.659203,466698,62.262932
2013-01-02,77.679604,78.226997,76.826401,77.285202,991926,63.60104
2013-01-03,77.3013,77.333504,76.230698,76.753899,605109,63.163803
2013-01-04,76.295097,76.834396,75.948997,76.834396,489976,63.230049
2013-01-07,76.5849,76.5849,75.755798,76.198502,548265,62.706741
2013-01-08,75.7397,76.407799,75.7155,75.948997,453984,62.501419
2013-01-09,76.069702,76.278999,75.530403,75.747704,645241,62.335773
2013-01-10,75.626999,75.916801,74.8703,74.991096,737180,61.713127
2013-01-11,74.942703,75.031303,74.033096,74.620796,837143,61.408386
2013-01-14,74.628799,75.023201,74.314903,74.942703,656904,61.673298
2013-01-15,74.2183,74.628799,73.815804,74.178001,1088578,61.044003
2013-01-16,74.202202,74.918602,73.936501,74.620796,766755,61.408386
2013-01-17,74.669098,75.031303,73.880203,74.644897,874615,61.428238
2013-01-18,74.628799,74.862297,74.0653,74.322899,1006056,61.163246
2013-01-21,74.459801,75.264702,74.395401,75.119797,478928,61.819035
2013-01-22,75.047401,75.795998,74.580498,75.200302,802701,61.885281
2013-01-23,75.490097,75.860397,75.2808,75.393501,863439,62.044285
2013-01-24,75.393501,75.836304,75.095703,75.506203,607038,62.137028
2013-01-25,75.377403,76.166298,75.377403,75.908699,652384,62.468262
2013-01-28,75.683296,75.755798,74.781799,74.781799,788169,61.54089
2013-01-29,74.8703,75.385498,74.805901,75.232498,690461,61.911781
2013-01-30,75.321098,75.981201,75.2164,75.763802,845574,62.34901
2013-01-31,75.659203,76.222603,75.466003,75.7799,956315,62.362267
2013-02-01,75.7799,77.478401,75.602798,77.245003,1083952,63.567959
2013-02-04,77.285202,77.639397,74.765701,74.765701,1453763,61.527641
2013-02-05,74.854202,75.514297,74.781799,75.248596,735103,61.92503
2013-02-06,75.3452,75.5867,73.711197,74.057297,1169119,60.944668
2013-02-07,74.298798,74.5644,73.051102,73.051102,906903,60.116623
2013-02-08,73.123497,74.057297,73.091301,73.775497,842279,60.712761
2013-02-11,73.880203,74.057297,73.2845,73.614502,648411,60.580261
2013-02-12,73.389198,73.856003,73.276497,73.662804,844701,60.620014
2013-02-13,74.057297,74.854202,73.984802,74.2183,866450,61.077156
2013-02-14,75.264702,75.506203,73.0672,73.0672,1720897,60.129871
2013-02-15,72.8498,72.9786,72.246101,72.535896,1715800,59.692642
2013-02-18,72.576103,72.640503,71.891899,71.972397,1010346,59.228924
2013-02-19,71.883904,73.526001,71.803398,73.147697,1768023,60.196121
2013-02-20,73.2201,73.550102,72.576103,72.930298,915473,60.017208
2013-02-21,72.5037,72.8498,71.280098,72.230003,1413550,59.440914
2013-02-22,72.463402,74.5886,72.238098,74.5886,1321171,61.381897
2013-02-25,74.258499,75.594803,74.258499,74.693199,1439414,61.467972
2013-02-26,72.672699,74.025101,72.656601,73.300598,1499535,60.321945
2013-02-27,73.381104,74.838097,72.898102,74.765701,1173695,61.527641
2013-02-28,75.135902,75.272797,74.508102,75.023201,999371,61.739532
2013-03-01,75.482101,76.874702,75.103798,75.973099,1622000,62.521248
2013-03-04,75.675301,76.367599,75.031303,76.311203,898812,62.799496
2013-03-05,76.271004,77.148399,76.238701,77.124199,1159828,63.468529
2013-03-06,76.874702,77.252998,76.1502,76.311203,1097876,62.799496
2013-03-07,76.182404,76.794197,76.158302,76.4561,711968,62.918732
2013-03-08,76.069702,76.8666,76.069702,76.576797,761209,63.01807
2013-03-11,76.271004,76.536598,76.013397,76.343399,909968,62.825993
2013-03-12,75.948997,76.858597,75.900703,76.657303,916193,63.084301
2013-03-13,76.665398,77.405998,76.512398,77.405998,852037,63.700455
2013-03-14,77.5187,77.904999,77.108101,77.832603,1037576,64.051506
2013-03-15,77.913101,77.921097,77.043701,77.494499,1615419,63.773277
2013-03-18,76.295097,77.599197,75.8685,77.478401,866078,63.760033
2013-03-19,76.947098,77.574997,76.359497,77.164497,1065109,63.501709
2013-03-20,77.4543,78.420197,77.4543,78.371902,1142380,64.495323
2013-03-21,78.025803,78.074097,76.037498,76.729797,1411513,63.14397
2013-03-22,76.440002,77.3013,76.440002,76.922997,894320,63.302963
2013-03-25,77.430099,77.808403,75.449898,75.828201,1142910,62.402016
2013-03-26,75.7397,76.592903,75.546501,76.045601,928260,62.580921
2013-03-27,76.2146,76.295097,74.862297,75.908699,1226236,62.468262
2013-03-28,75.892601,76.673401,75.683296,76.295097,1140962,62.786236
2013-04-02,76.117996,77.8004,76.069702,77.784302,1290844,64.011765
2013-04-03,77.462303,78.0821,77.092003,77.220802,994102,63.548038
2013-04-04,77.333504,77.993599,76.769997,77.003502,904682,63.369213
2013-04-05,76.8908,77.5187,75.618896,75.981201,1124194,62.527908
2013-04-08,76.230698,76.407799,75.031303,75.047401,905923,61.759449
2013-04-09,75.618896,75.723602,74.677101,74.9347,760535,61.666718
2013-04-10,75.288902,75.884598,74.821999,75.546501,1012520,62.170193
2013-04-11,75.329102,76.190498,75.2808,75.361298,924762,62.017776
2013-04-12,75.321098,75.667198,74.258499,74.653,1063681,61.434895
2013-04-15,74.540298,74.773697,73.550102,74.451698,808585,61.269226
2013-04-16,74.210197,75.095703,73.992897,74.314903,715165,61.156662
2013-04-17,74.508102,74.701302,72.882004,73.010803,1452894,60.083466
2013-04-18,73.936501,75.015198,73.566299,74.194099,1277171,61.057243
2013-04-19,75.023201,75.522301,74.653,75.087601,1230823,61.792549
2013-04-22,75.103798,75.103798,74.025101,74.540298,743684,61.342148
2013-04-23,74.491997,76.367599,74.459801,76.246803,1267075,62.746498
2013-04-24,74.862297,77.526703,74.677101,76.874702,1746383,63.263214
2013-04-25,77.277199,77.3657,75.635002,75.908699,978504,62.468262
2013-04-26,75.997299,76.9552,75.570602,76.673401,1031901,63.097561
2013-04-29,77.140297,77.647499,76.560699,77.599197,955593,63.859432
2013-04-30,77.719902,77.719902,76.818298,77.373802,784009,63.673939
2013-05-02,77.470398,77.872803,76.512398,77.035698,1081858,63.39571
2013-05-03,77.3013,78.838799,77.0196,78.315598,1124926,64.448982
2013-05-06,78.307503,78.854897,78.178703,78.637604,560012,64.713974
2013-05-07,78.565102,79.2332,78.323601,78.589302,746600,64.674232
2013-05-08,78.492699,78.967598,78.098198,78.6698,669584,64.740486
2013-05-09,78.484596,78.709999,78.001602,78.484596,467827,64.588066
2013-05-10,78.573196,79.184998,78.090202,78.702003,804585,64.766983
2013-05-13,78.726097,78.854897,78.178703,78.742203,706773,64.800056
2013-05-14,79.209099,79.225197,78.259201,78.822701,686169,64.86631
2013-05-15,78.766403,78.967598,78.202904,78.790497,688876,64.839798
2013-05-16,77.100098,77.277199,76.528503,77.204697,865683,65.616776
2013-05-17,77.3657,78.355797,77.100098,78.275299,2209751,66.526688
2013-05-20,78.484596,78.484596,77.760101,78.484596,517737,66.704582
2013-05-21,78.202904,78.959503,77.832603,78.323601,932047,66.567757
2013-05-22,78.0821,78.645599,77.776299,78.291397,972354,66.540382
2013-05-23,76.971298,77.744003,76.697601,77.3899,1224119,65.774193
2013-05-24,78.001602,78.709999,77.6716,78.041901,1146676,66.328331
2013-05-27,78.645599,78.8871,78.162598,78.524902,470990,66.738831
2013-05-28,78.879097,79.281502,78.637604,78.935402,833737,67.087723
2013-05-29,78.484596,79.088303,77.695702,78.057999,745642,66.342003
2013-05-30,78.202904,79.225197,78.0177,78.862999,835003,67.026184
2013-05-31,79.289597,80.223396,79.281502,79.973801,2176556,67.970268
2013-06-03,79.692101,80.738503,78.967598,79.748398,1309852,67.778694
2013-06-04,79.998001,80.094597,78.766403,78.830803,943191,66.998825
2013-06-05,78.436302,78.806602,78.049896,78.1465,747061,66.417229
2013-06-06,78.138496,78.484596,77.5187,77.5187,703759,65.883659
2013-06-07,77.526703,78.532898,77.027603,78.1465,993454,66.417229
2013-06-10,78.1465,78.597298,77.679604,78.363899,495603,66.601997
2013-06-11,77.848701,78.122398,76.810303,77.824501,820698,66.143562
2013-06-12,77.897003,78.798599,77.840599,77.864799,622287,66.177811
2013-06-13,76.874702,77.921097,76.874702,77.792397,705662,66.116272
2013-06-14,78.154602,78.202904,76.9552,77.204697,726741,65.616776
2013-06-17,77.599197,78.677803,77.3255,78.130402,702438,66.403542
2013-06-18,77.872803,78.468498,77.695702,78.194801,531844,66.458275
2013-06-19,78.259201,78.524902,77.711899,77.977501,548081,66.273598
2013-06-20,77.0196,77.0196,75.135902,75.200302,1519657,63.913239
2013-06-21,75.272797,76.472198,74.604698,74.604698,1728327,63.407036
2013-06-24,74.797897,74.942703,73.332802,73.493797,1152289,62.46286
2013-06-25,73.936501,74.628799,73.493797,74.5,890449,63.318047
2013-06-26,74.701302,75.578697,74.250504,75.490097,1059939,64.159538
2013-06-27,75.264702,76.407799,74.620796,76.230698,1160234,64.788986
2013-06-28,76.311203,76.906898,75.892601,76.367599,1233229,64.905327
2013-07-01,76.874702,77.478401,75.417702,76.391701,908427,64.925812
2013-07-02,76.327301,76.351402,75.562599,76.037498,776451,64.624771
2013-07-03,75.707497,76.126099,75.296898,75.940903,682388,64.542671
2013-07-04,76.230698,77.084,75.385498,77.075897,1021219,65.507317
2013-07-05,77.067902,77.261101,75.691399,75.691399,847251,64.33062
2013-07-08,76.069702,77.212799,75.965103,76.826401,685174,65.29528
2013-07-09,77.277199,78.0177,77.035698,77.647499,659119,65.993126
2013-07-10,77.494499,77.816498,76.922997,77.510597,568661,65.876778
2013-07-11,78.194801,78.718102,77.744003,78.677803,715808,66.86879
2013-07-12,78.428299,78.871002,78.2351,78.379997,654512,66.615677
2013-07-15,78.275299,78.862999,78.041901,78.557098,540852,66.766197
2013-07-16,78.565102,78.6698,78.001602,78.1465,424392,66.417229
2013-07-17,78.468498,79.007896,77.687698,78.645599,579512,66.841423
2013-07-18,78.404099,79.2332,78.057999,79.2332,767332,67.34082
2013-07-19,78.8871,79.643799,78.476601,79.643799,989797,67.689796
2013-07-22,79.6035,79.925499,78.967598,79.458603,687556,67.532394
2013-07-23,79.466698,79.643799,78.806602,78.871002,588538,67.032982
2013-07-24,79.031998,79.523003,78.6698,79.4506,673114,67.525589
2013-07-25,79.555199,79.692101,78.822701,79.023903,843750,67.162941
2013-07-26,79.120598,79.692101,78.967598,79.249298,645593,67.354507
2013-07-29,79.064201,79.692101,78.066002,78.388,1041628,66.622475
2013-07-30,79.571297,81.302002,79.265404,81.181297,1528511,68.996521
2013-07-31,80.738503,81.1008,79.877197,80.319901,1082183,68.26442
2013-08-01,80.778801,80.980003,80.094597,80.980003,726312,68.825447
2013-08-02,80.980003,81.181297,80.577499,81.140999,580872,68.962265
2013-08-05,81.140999,81.422798,80.617798,80.859299,486000,68.722855
2013-08-06,80.5373,80.819,80.014099,80.376297,710322,68.312347
2013-08-07,80.046303,80.778801,79.772598,80.778801,621184,68.654442
2013-08-08,80.5373,80.899498,80.271698,80.819,512313,68.688606
2013-08-09,80.819,81.583801,80.360199,81.3825,584892,69.167519
2013-08-12,81.3423,81.664299,80.778801,81.261803,336958,69.064949
2013-08-13,81.422798,82.348503,81.302002,82.348503,493676,69.988541
2013-08-14,82.4692,82.9925,82.308197,82.388702,435977,70.022713
2013-08-15,82.348503,82.589996,81.543503,82.388702,381100,70.022713
2013-08-16,82.308197,83.596199,82.147202,83.555901,831642,71.014717
2013-08-19,83.475403,83.555901,82.630203,82.871696,453176,70.433205
2013-08-20,82.267998,82.4692,81.744797,82.227699,714559,69.885864
2013-08-21,82.549698,82.912003,81.945999,82.1875,464926,69.851707
2013-08-22,82.066704,83.8377,82.066704,83.8377,654158,71.254219
2013-08-23,84.360901,84.843903,83.877899,84.602402,783707,71.904152
2013-08-26,84.481697,84.843903,83.958397,84.803596,308532,72.075142
2013-08-27,84.401199,84.562103,82.912003,82.912003,764105,70.467453
2013-08-28,82.267998,82.509499,80.899498,81.503304,1058768,69.270203
2013-08-29,81.785004,81.785004,81.1008,81.3825,506558,69.167519
2013-08-30,81.1008,81.422798,79.989899,80.1026,1040341,68.079735
2013-09-02,80.778801,81.462997,80.5373,81.302002,537359,69.099106
2013-09-03,81.140999,81.583801,80.005997,81.261803,616672,69.064949
2013-09-04,81.261803,81.543503,79.925499,81.3825,665282,69.167519
2013-09-05,81.422798,81.462997,80.054298,80.207298,792666,68.168709
2013-09-06,80.086502,81.261803,79.941597,81.261803,798926,69.064949
2013-09-09,81.181297,81.261803,80.698303,81.140999,481664,68.962265
2013-09-10,81.462997,82.750999,81.3825,82.589996,843903,70.193794
2013-09-11,82.308197,82.952202,81.905701,82.4692,523239,70.091125
2013-09-12,82.630203,82.670502,81.744797,82.026497,427409,69.714867
2013-09-13,82.066704,82.388702,81.825203,82.227699,435664,69.885864
2013-09-16,82.831497,83.555901,82.429001,82.549698,646168,70.159531
2013-09-17,82.1875,82.670502,81.704498,81.825203,625536,69.543785
2013-09-18,81.945999,83.757202,81.744797,83.596199,781713,71.048965
2013-09-19,84.521896,85.045097,83.435204,83.8377,890261,71.254219
2013-09-20,83.636398,84.521896,83.354698,84.240196,1567120,71.596298
2013-09-23,84.038902,84.1194,83.2742,83.636398,747991,71.08313
2013-09-24,83.757202,84.1194,83.072998,83.636398,624707,71.08313
2013-09-25,82.871696,83.676697,82.791199,83.676697,411877,71.117378
2013-09-26,83.233902,84.079201,83.072998,83.998703,452121,71.391052
2013-09-27,83.918198,83.998703,82.509499,83.153503,530314,70.672714
2013-09-30,82.308197,82.871696,82.308197,82.871696,615521,70.433205
2013-10-01,82.912003,83.676697,82.549698,82.791199,797760,70.364792
2013-10-02,82.388702,82.509499,80.859299,81.3423,910305,69.133369
2013-10-03,81.302002,81.905701,80.819,80.980003,521068,68.825447
2013-10-04,81.060501,81.302002,80.424599,81.1008,599011,68.928116
2013-10-07,80.657997,80.899498,79.724297,80.698303,577036,68.586021
2013-10-08,80.617798,80.657997,79.764503,80.134804,617464,68.107101
2013-10-09,79.692101,79.853104,78.943497,79.273499,990771,67.375076
2013-10-10,79.490799,80.778801,79.3218,80.2314,1166533,68.189194
2013-10-11,80.5373,80.657997,80.247498,80.456802,548984,68.380775
2013-10-14,80.336098,80.778801,79.8209,80.778801,524453,68.654442
2013-10-15,81.1008,81.704498,80.778801,81.3423,847958,69.133369
2013-10-16,81.261803,81.543503,80.464897,80.698303,768265,68.586021
2013-10-17,80.698303,81.664299,80.497002,81.462997,565293,69.235939
2013-10-18,82.026497,82.107002,81.302002,81.865501,782748,69.578033
2013-10-21,81.704498,82.348503,81.503304,82.267998,596064,69.920128
2013-10-22,81.986198,82.710701,81.945999,82.549698,642123,70.159531
2013-10-23,82.1875,82.952202,82.1875,82.670502,699662,70.262215
2013-10-24,80.497002,81.905701,80.2556,81.221497,1208659,69.030693
2013-10-25,81.221497,82.267998,80.899498,81.945999,682846,69.646454
2013-10-28,82.267998,82.429001,81.744797,82.026497,473038,69.714867
2013-10-29,81.986198,82.549698,81.140999,81.543503,783333,69.304352
2013-10-30,81.624001,81.704498,80.167,80.497002,792665,68.41494
2013-10-31,80.094597,80.980003,79.973801,80.738503,907981,68.620201
2013-11-01,80.899498,80.980003,80.158997,80.5373,428396,68.449188
2013-11-04,80.698303,81.3423,80.657997,80.980003,459854,68.825447
2013-11-05,80.980003,81.221497,80.054298,80.488998,561367,68.408134
2013-11-06,80.303802,81.060501,80.134804,80.899498,606097,68.757027
2013-11-07,80.778801,81.624001,80.1026,80.440697,821968,68.367081
2013-11-08,79.828903,80.408501,79.458603,80.167,740843,68.134468
2013-11-11,80.167,81.1008,79.772598,80.859299,575791,68.722855
2013-11-12,80.819,81.1008,80.408501,80.5373,496369,68.449188
2013-11-13,80.2556,80.738503,79.772598,79.965797,736152,67.963463
2013-11-14,80.738503,81.181297,80.239502,80.980003,1087181,68.825447
2013-11-15,80.899498,81.704498,80.698303,81.503304,767600,69.270203
2013-11-18,81.1008,82.107002,80.859299,81.986198,592968,69.680611
2013-11-19,81.543503,81.905701,81.3825,81.543503,568811,69.304352
2013-11-20,81.462997,82.509499,81.302002,82.066704,503195,69.749046
2013-11-21,81.704498,81.905701,80.980003,81.543503,509034,69.304352
2013-11-22,81.543503,81.945999,81.302002,81.825203,453219,69.543785
2013-11-25,82.107002,82.509499,81.785004,82.1875,621181,69.851707
2013-11-26,82.267998,82.388702,81.825203,82.026497,624224,69.714867
