DATE,,AIR.PA.Open,AIR.PA.High,AIR.PA.Low,AIR.PA.Close,AIR.PA.Volume,AIR.PA.Adjusted,,FP.PA.Open,FP.PA.High,FP.PA.Low,FP.PA.Close,FP.PA.Volume,FP.PA.Adjusted,,MC.PA.Open,MC.PA.High,MC.PA.Low,MC.PA.Close,MC.PA.Volume,MC.PA.Adjusted,,OR.PA.Open,OR.PA.High,OR.PA.Low,OR.PA.Close,OR.PA.Volume,OR.PA.Adjusted,,SAN.PA.Open,SAN.PA.High,SAN.PA.Low,SAN.PA.Close,SAN.PA.Volume,SAN.PA.Adjusted,Interest rates,Exchange rate(1 USD),Political Stability(yearly),CPI Infaltion(monthly)
02-01-2013,,30,30.33,29.879999,30.065001,1526764,26.634413,,39.794998,40.099998,39.450001,39.974998,5127884,27.717295,,140.800003,142.850006,140.300003,142.149994,737152,123.682045,,105.5,107.5,105.349998,107.5,655291,94.90744,,72.489998,73,71.940002,73,2358355,53.614208,0.062,0.7553,0.4487441,-0.5
03-01-2013,,30,30.225,29.9,30.200001,802652,26.754005,,39.849998,39.974998,39.470001,39.855,2898938,27.634102,,141.550003,142.25,140.600006,141.149994,467638,122.811966,,107.5,107.5,105.25,105.400002,464918,93.053444,,72.559998,73.190002,72.43,72.809998,1547913,53.474667,0.066,0.7637,0.4487441,-0.5
04-01-2013,,30.254999,30.85,30.1,30.799999,1547823,27.285543,,39.880001,40,39.68,39.82,3317539,27.609829,,140.649994,141.850006,139.300003,141.850006,564865,123.421043,,105.099998,105.650002,104.550003,105.650002,408067,93.274155,,72.949997,73.760002,72.709999,73.669998,1692994,54.106293,0.068,0.7666,0.4487441,-0.5
07-01-2013,,30.85,31.01,30.735001,30.75,1370626,27.241249,,39.744999,39.775002,39.080002,39.154999,4191402,27.148748,,141.399994,142,139.600006,140.149994,510513,121.941864,,105.25,105.349998,103.75,104.199997,504076,91.994011,,73.650002,73.800003,72.57,73.379997,2055484,53.893295,0.066,0.7635,0.4487441,-0.5
08-01-2013,,30.91,31.184999,30.795,30.924999,1911342,27.39628,,39.09,39.43,39.029999,39.384998,2661710,27.308222,,139.600006,141,139,139.399994,463908,121.289322,,103.900002,105,103.650002,104.5,306864,92.258865,,73.150002,74.040001,73.139999,73.75,1629504,54.165054,0.067,0.7653,0.4487441,-0.5
09-01-2013,,31,32.174999,30.965,32.125,3593140,28.459354,,39.639999,39.720001,39.445,39.529999,3292952,27.408756,,138.550003,138.949997,137.449997,138.050003,733785,120.114731,,105.050003,105.550003,104.650002,105.25,467242,92.921013,,74.230003,74.290001,73.309998,73.860001,1496965,54.245834,0.069,0.7667,0.4487441,-0.5
10-01-2013,,32.169998,32.794998,31.865,32.040001,2723918,28.384052,,39.619999,39.775002,39.355,39.549999,3608802,27.422617,,138.399994,138.5,135.75,136.600006,759358,118.853111,,105.099998,105.25,104,104.199997,450257,91.994011,,73.699997,73.82,72.879997,73.339996,1918959,53.863937,0.069,0.7567,0.4487441,-0.5
11-01-2013,,32.044998,32.630001,31.995001,32.294998,1641004,28.609955,,39.595001,39.73,39.240002,39.485001,3145847,27.377558,,136.75,137.850006,136.600006,137.850006,476392,119.940697,,104,104.599998,103.699997,103.75,452964,91.596725,,73.440002,73.809998,73.050003,73.809998,1430440,54.209118,0.067,0.7493,0.4487441,-0.5
14-01-2013,,32.325001,32.395,31.99,32.150002,1102963,28.481504,,39.779999,39.84,39.34,39.610001,3061695,27.464226,,137.550003,137.800003,135.550003,137,630617,119.201134,,104.349998,105.349998,103.849998,104.949997,302420,92.656158,,73.650002,73.809998,72.919998,72.919998,1442464,53.555462,0.065,0.7481,0.4487441,-0.5
15-01-2013,,31.950001,32.439999,31.91,32.145,1452018,28.477074,,39.555,40,39.459999,39.73,4311762,27.547434,,137.25,139.449997,137,139,735021,120.941307,,105.099998,106.300003,104.949997,106,482192,93.58316,,72.459999,72.639999,71.849998,72.150002,2361834,52.989944,0.064,0.7491,0.4487441,-0.5
